happiness_score,gdp,life_expectancy,freedom,generosity,corruption
7.587,1.39651,0.03411,0.66557,0.29678,0.41978
7.561,1.30232,0.04884,0.62877,0.4363,0.14145
7.527,1.32548,0.03328,0.64938,0.34139,0.48357
7.522,1.459,0.0388,0.66973,0.34699,0.36503
7.427,1.32629,0.03553,0.63297,0.45811,0.32957
7.406,1.29025,0.0314,0.64169,0.23351,0.41372
7.378,1.32944,0.02799,0.61576,0.4761,0.31814
7.364,1.33171,0.03157,0.6598,0.36262,0.43844
7.286,1.25018,0.03371,0.63938,0.47501,0.42922
7.284,1.33358,0.04083,0.65124,0.43562,0.35637
7.278,1.22857,0.0347,0.41319,0.33172,0.07785
7.226,0.95578,0.04454,0.63376,0.25497,0.10583
7.2,1.33723,0.03751,0.62433,0.33088,0.18676
7.187,1.02054,0.04176,0.48181,0.14074,0.21312
7.119,1.39451,0.03839,0.54604,0.40105,0.1589
6.983,0.98124,0.04076,0.49049,0.14574,0.17521
6.946,1.56391,0.03499,0.61583,0.28034,0.37798
6.94,1.33596,0.03676,0.61777,0.45901,0.28703
6.937,1.30782,0.03595,0.5845,0.2225,0.2254
6.901,1.42727,0.03729,0.64157,0.26428,0.38583
6.867,1.26637,0.01866,0.59625,0.51912,0.32067
6.853,1.36011,0.05335,0.63274,0.21542,0.32524
6.81,1.04424,0.06476,0.42908,0.05841,0.11069
6.798,1.52186,0.0378,0.54252,0.31105,0.4921
6.786,1.06353,0.0491,0.5421,0.24434,0.0927
6.75,1.32792,0.01848,0.61477,0.28214,0.21843
6.67,1.10715,0.058,0.44132,0.33363,0.12869
6.611,1.69042,0.06257,0.6404,0.32573,0.52208
6.575,1.27778,0.03512,0.55011,0.12332,0.20646
6.574,1.05351,0.04612,0.44974,0.11451,0.08484
6.505,1.17898,0.04168,0.46364,0.10686,0.02652
6.485,1.06166,0.04539,0.60362,0.2324,0.24558
6.477,0.91861,0.05051,0.53466,0.18401,0.0512
6.455,0.9669,0.03557,0.55664,0.5763,0.03187
6.411,1.39541,0.04633,0.31048,0.13706,0.32524
6.329,1.23011,0.03468,0.45951,0.18227,0.06398
6.302,1.2074,0.04206,0.60365,0.51752,0.13586
6.298,1.29098,0.03868,0.3974,0.25376,0.08129
6.295,1.55422,0.04456,0.55499,0.16228,0.25609
6.269,0.99534,0.09811,0.59657,0.16991,0.13633
6.168,1.21183,0.10895,0.55884,0.31844,0.0114
6.13,0.76454,0.05618,0.4035,0.10692,0.11776
6.123,0.74553,0.05224,0.57733,0.27489,0.09472
6.003,0.63244,0.04361,0.65821,0.22837,0.30826
5.995,1.16891,0.04267,0.31751,0.16893,0.03431
5.987,1.27074,0.03581,0.49615,0.10705,0.1806
5.984,1.24461,0.04098,0.33208,0.18557,0.07857
5.975,0.86402,0.04528,0.48574,0.11541,0.1809
5.96,1.32376,0.05412,0.45492,0.17362,0.306
5.948,1.25114,0.03914,0.26236,0.22823,0.02901
5.89,0.68133,0.05642,0.57414,0.20536,0.088
5.889,0.59448,0.03799,0.32818,0.20951,0.01615
5.878,0.75985,0.04563,0.53899,0.3424,0.08242
5.855,1.12254,0.04114,0.51649,0.11827,0.08454
5.848,1.18498,0.04251,0.60855,0.25328,0.03787
5.833,1.14723,0.03843,0.21342,0.02641,0.01031
5.828,0.59325,0.05371,0.55475,0.27815,0.19317
5.824,0.90019,0.04615,0.41496,0.14982,0.05989
5.813,1.03192,0.03938,0.37938,0.11046,0.1909
5.791,1.12555,0.04263,0.53122,0.16759,0.04212
5.77,1.12486,0.0433,0.53024,0.33075,0.10501
5.759,1.08254,0.04394,0.25883,0.05444,0.0243
5.754,1.13145,0.07832,0.41668,0.18295,0.11023
5.716,1.13764,0.03135,0.36679,0.00199,0.03005
5.709,0.81038,0.13693,0.50442,0.2123,0.02299
5.695,1.20806,0.05635,0.49027,0.26169,0.1428
5.689,1.20813,0.0558,0.40672,0.30638,0.06146
5.605,0.93929,0.05099,0.28579,0.07822,0.17383
5.589,0.80148,0.05018,0.24749,0.2831,0.04741
5.548,0.95847,0.04175,0.4761,0.16979,0.30844
5.477,1.00761,0.07197,0.56066,0.37744,0.07521
5.474,1.38604,0.05051,0.59608,0.39478,0.37124
5.429,1.15174,0.04013,0.44888,0.0868,0.15184
5.399,0.82827,0.02596,0.46611,0.51535,0
5.36,0.63216,0.03107,0.59444,0.1686,0.10441
5.332,1.06098,0.03864,0.22815,0.12253,0.15746
5.286,0.47428,0.03823,0.43477,0.3003,0.04232
5.268,0.65435,0.04192,0.34334,0.27233,0.0403
5.253,0.77042,0.03225,0.53206,0.47998,0.15445
5.212,1.02389,0.03363,0.3703,0.07799,0.16065
5.194,0.59543,0.03726,0.12102,0.33671,0.10464
5.192,0.90198,0.04524,0.40661,0.11053,0.14293
5.192,0.97438,0.05235,0.1826,0.1614,0.14296
5.14,0.89012,0.02424,0.51697,0.08185,0.02781
5.129,0.47038,0.06988,0.48827,0.19591,0.12468
5.124,1.04345,0.06607,0.35068,0.13748,0.00649
5.123,0.92053,0.04864,0.20107,0.19231,0.02617
5.102,1.15991,0.04802,0.51469,0.13719,0.01078
5.098,1.11312,0.0464,0.29671,0.18226,0.06332
5.073,0.70532,0.04934,0.62545,0.24991,0.12279
5.057,0.18847,0.06161,0.46582,0.50318,0.39928
5.013,0.73479,0.0342,0.41691,0.07172,0.08546
5.007,0.91851,0.05376,0.33457,0.22359,0.05327
4.971,0.08308,0.07896,0.34037,0.22269,0.15603
4.959,0.87867,0.05013,0.35733,0.14272,0.06413
4.949,0.83223,0.06913,0.09245,0.24808,0.00227
4.898,0.37545,0.09438,0.31767,0.16388,0.12504
4.885,0.89537,0.07446,0.57672,0.21684,0.14234
4.876,0.59066,0.06698,0.59591,0.42192,0.24249
4.874,0.82819,0.03313,0.43626,0.3323,0.02666
4.867,0.71206,0.08742,0.30658,0.18259,0.0306
4.857,1.15406,0.05062,0.07699,0,0.01397
4.839,1.02564,0.04337,0.33916,0.21854,0.04582
4.8,1.12094,0.06107,0.32112,0.128,0.02758
4.788,0.59532,0.05648,0.40148,0.23027,0.06825
4.786,0.39047,0.03198,0.47216,0.22974,0.15072
4.739,0.88113,0.03589,0.26268,0.06431,0.06358
4.715,0.59867,0.04394,0.24499,0.11251,0.12905
4.694,0.39753,0.03077,0.4082,0.21222,0.12569
4.686,1.0088,0.04449,0.30033,0.38086,0.05863
4.681,0.79907,0.04412,0.25123,0.15275,0.02961
